catalog_id,category,brand,model_name,product_name,color,storage,network,jancode
MG38WQ3L99000,スマートフォン本体,,CMF PHONE 1,CMF PHONE 1 オレンジ 128GB A015,オレンジ,128GB,,
JE9FOK69XU000,スマートフォン本体,,CMF PHONE 1,CMF PHONE 1 ブラック 128GB A015,ブラック,128GB,,
3RFSBOHEP4000,スマートフォン本体,,CMF PHONE 1,CMF PHONE 1 ライトグリーン 128GB A015,ライトグリーン,128GB,,
PQLRIGTRPT000,スマートフォン本体,ASUS,ROG Phone 3 (RAM 12GBモデル),ROG Phone 3 (RAM 12GBモデル) ブラックグレア 512GB ZS661KS-BK512R12,ブラックグレア,512GB,,192876828625
P04HGCIF4V000,スマートフォン本体,ASUS,ROG Phone 3 (RAM 16GBモデル),ROG Phone 3 (RAM 16GBモデル) ブラックグレア 512GB ZS661KS-BK512R16,ブラックグレア,512GB,,192876828632
XKPUK14O3X000,スマートフォン本体,ASUS,ROG Phone 5 (RAM 12GBモデル),ROG Phone 5 (RAM 12GBモデル) ストームホワイト 256GB ZS673KS-WH256R12,ストームホワイト,256GB,,195553165969
EL4C4LYVKD000,スマートフォン本体,ASUS,ROG Phone 5 (RAM 12GBモデル),ROG Phone 5 (RAM 12GBモデル) ファントムブラック 256GB ZS673KS-BK256R12,ファントムブラック,256GB,,195553165914
TMX0D2L710000,スマートフォン本体,ASUS,ROG Phone 5 (RAM 16GBモデル),ROG Phone 5 (RAM 16GBモデル) ストームホワイト 256GB ZS673KS-WH256R16,ストームホワイト,256GB,,195553165976
HAFXRLG7O1000,スマートフォン本体,ASUS,ROG Phone 5 (RAM 16GBモデル),ROG Phone 5 (RAM 16GBモデル) ファントムブラック 256GB ZS673KS-BK256R16,ファントムブラック,256GB,,195553165952
BJJB8VJH4O000,スマートフォン本体,ASUS,ROG Phone 5 Ultimate,ROG Phone 5 Ultimate ストームホワイト 512GB ZS673KS-WH512R18,ストームホワイト,512GB,,195553165983
Q2YFYCS3JS000,スマートフォン本体,ASUS,ROG Phone 5s Pro,ROG Phone 5s Pro ファントムブラック 512GB ZS676KS-BK512R18,ファントムブラック,512GB,,195553503822
2EHM7LTFJG000,スマートフォン本体,ASUS,ROG Phone 5s,ROG Phone 5s ストームホワイト 256GB ZS676KS-WH256R12,ストームホワイト,256GB,,195553503747
RUUTTWK6KW000,スマートフォン本体,ASUS,ROG Phone 5s,ROG Phone 5s ストームホワイト 512GB ZS676KS-WH512R16,ストームホワイト,512GB,,195553503815
OX92JQVTY4000,スマートフォン本体,ASUS,ROG Phone 5s,ROG Phone 5s ファントムブラック 256GB ZS676KS-BK256R12,ファントムブラック,256GB,,195553503723
DXQI1HHWC5000,スマートフォン本体,ASUS,ROG Phone 5s,ROG Phone 5s ファントムブラック 512GB ZS676KS-BK512R16,ファントムブラック,512GB,,195553503730
T3LKK1QYHO000,スマートフォン本体,ASUS,ROG Phone 6 BATMAN Edition,ROG Phone 6 BATMAN Edition ファントムブラック 256GB ROG6SB-BK12R256,ファントムブラック,256GB,,195553931779
W7BMSY6ZJ8000,スマートフォン本体,ASUS,ROG Phone 6 Diablo Immortal Edition,ROG Phone 6 Diablo Immortal Edition ヘルファイアレッド 512GB ROG6SD-BK16R512,ヘルファイアレッド,512GB,,197105008205
3QY4UAYDP1000,スマートフォン本体,ASUS,ROG Phone 6 Pro,ROG Phone 6 Pro ストームホワイト 512GB ROG6P-WH18R512,ストームホワイト,512GB,,195553928014
44WE9NUK7Q000,スマートフォン本体,ASUS,ROG Phone 6,ROG Phone 6 ストームホワイト 256GB ROG6-WH12R256,ストームホワイト,256GB,,195553928021
OSZOZA8K53000,スマートフォン本体,ASUS,ROG Phone 6,ROG Phone 6 ストームホワイト 512GB ROG6-WH16R512,ストームホワイト,512GB,,195553928038
L1BCTNOPZ3000,スマートフォン本体,ASUS,ROG Phone 6,ROG Phone 6 ファントムブラック 256GB ROG6-BK12R256,ファントムブラック,256GB,,195553927994
6GM7HQ3AE5000,スマートフォン本体,ASUS,ROG Phone 6,ROG Phone 6 ファントムブラック 512GB ROG6-BK16R512,ファントムブラック,512GB,,195553928007
1AZF3TLEN1000,スマートフォン本体,ASUS,ROG Phone 7 Ultimate,ROG Phone 7 Ultimate ストームホワイト 512GB ROG7U-WH16R512,ストームホワイト,512GB,,197105238497
YHKQT9SQMW000,スマートフォン本体,ASUS,ROG Phone 7,ROG Phone 7 ストームホワイト 256GB ROG7-WH12R256,ストームホワイト,256GB,,197105238503
BFZRJUOADP000,スマートフォン本体,ASUS,ROG Phone 7,ROG Phone 7 ストームホワイト 512GB ROG7-WH16R512,ストームホワイト,512GB,,197105238480
LKEC5L4BIO000,スマートフォン本体,ASUS,ROG Phone 7,ROG Phone 7 ファントムブラック 256GB ROG7-BK12R256,ファントムブラック,256GB,,197105238466
37JW9TLEAU000,スマートフォン本体,ASUS,ROG Phone 7,ROG Phone 7 ファントムブラック 512GB ROG7-BK16R512,ファントムブラック,512GB,,197105238473
O245I435G9000,スマートフォン本体,ASUS,ROG Phone 8 Pro Edition,ROG Phone 8 Pro Edition ファントムブラック 1000GB ROG8P-BK24R1T,ファントムブラック,1TB,,197105477223
OPT1GSVHOH000,スマートフォン本体,ASUS,ROG Phone 8 Pro,ROG Phone 8 Pro ファントムブラック 512GB ROG8P-BK16R512,ファントムブラック,512GB,,197105477285
GFWBHA06OH000,スマートフォン本体,ASUS,ROG Phone 8,ROG Phone 8 ファントムブラック 256GB ROG8-BK16R256,ファントムブラック,256GB,,
